Gene_ID	Condition	Fit_Value	Fit_T	BGC_Protocore_Gene?
AO353_00310	set2IT020 D-Trehalose (C)	-3.402	-7.859	False
AO353_00310	set2IT021 L-Arginine (C)	-2.754	-8.986	False
AO353_00310	set2IT022 L-Histidine (C)	-3.619	-7.309	False
AO353_00310	set2IT032 m-Inositol (C)	-2.989	-8.508	False
AO353_00310	set2IT033 Ethanol (C)	-2.266	-7.392	False
AO353_00310	set2IT034 Glycerol (C)	-2.989	-9.752	False
AO353_00310	set2IT036 Tween 20 (C)	-2.685	-9.432	False
AO353_00310	set2IT038 D-Trehalose (C)	-3.171	-7.326	False
AO353_00310	set2IT039 L-Arginine (C)	-2.853	-9.308	False
AO353_00310	set2IT040 L-Histidine (C)	-3.295	-9.803	False
AO353_00310	set3IT062 Chloride 500 mM	-3.022	-9.739	False
AO353_00310	set3IT064 Benzethonium chloride 0.025 mM	-1.326	-6.589	False
AO353_00310	set3IT080 Tetracycline 0.0008 mg/ml	-1.167	-6.358	False
AO353_00310	set3IT081 Tetracycline 0.0016 mg/ml	-1.321	-5.881	False
AO353_00310	set3IT085 Rifampicin 0.005 mg/ml	-2.072	-9.121	False
AO353_00310	set3IT094 D-Cycloserine 0.1 mg/ml	-2.657	-10.091	False
AO353_00310	set3IT096 methylglyoxal 0.008 vol%	-1.687	-8.193	False
AO353_00310	set4IT051 methylglyoxal 0.009 vol%	-2.734	-8.726	False
AO353_00310	set4IT055 Furfuryl Alcohol 0.0625 vol%	-2.746	-10.179	False
AO353_00310	set4IT056 Furfuryl Alcohol 0.125 vol%	-2.278	-9.286	False
AO353_00310	set4IT057 Furfuryl Alcohol 0.25 vol%	-3.143	-8.253	False
AO353_00310	set4IT073 acetate 68 mM	-2.051	-8.933	False
AO353_00310	set4IT077 1-ethyl-3-methylimidazolium acetate 30 mM	-2.334	-8.935	False
AO353_00310	set4IT085 Doxycycline hyclate 0.0002 mg/ml	-1.228	-6.648	False
AO353_00310	set4IT086 Doxycycline hyclate 0.0006 mg/ml	-1.569	-5.886	False
AO353_00310	set5IT001 L-Alanine (C)	-1.047	-4.56	False
AO353_00310	set5IT002 L-Valine (C)	-2.504	-7.515	False
AO353_00310	set5IT003 L-Isoleucine (C)	-2.517	-7.714	False
AO353_00310	set5IT004 L-Leucine (C)	-3.284	-6.66	False
AO353_00310	set5IT005 L-Phenylalanine (C)	-2.7	-7.747	False
AO353_00310	set5IT006 L-Tryptophan (C)	-1.299	-5.332	False
AO353_00310	set5IT007 D-Serine (C)	-1.338	-6.041	False
AO353_00310	set5IT008 D-Alanine (C)	-2.232	-7.94	False
AO353_00310	set5IT009 L-Citrulline (C)	-3.715	-12.251	False
AO353_00310	set5IT010 Carnitine Hydrochloride (C)	-3.851	-11.052	False
AO353_00310	set5IT012 Putrescine (C)	-3.669	-11.893	False
AO353_00310	set5IT014 D-Glucosamine Hydrochloride (C)	-1.099	-6.198	False
AO353_00310	set5IT015 Uridine (C)	-3.593	-12.421	False
AO353_00310	set5IT016 Cytidine (C)	-4.314	-11.771	False
AO353_00310	set5IT017 D-Mannose (C)	-3.614	-11.715	False
AO353_00310	set5IT018 butyrate (C)	-1.942	-9.971	False
AO353_00310	set5IT019 L-Phenylalanine (N)	-4.207	-11.165	False
AO353_00310	set5IT020 L-tyrosine (N)	-3.751	-11.494	False
AO353_00310	set5IT021 L-Tryptophan (N)	-4.13	-12.396	False
AO353_00310	set5IT022 D-Serine (N)	-3.847	-13.101	False
AO353_00310	set5IT023 D-Alanine (N)	-4.049	-10.746	False
AO353_00310	set5IT024 Gly-DL-Asp (N)	-3.182	-6.453	False
AO353_00310	set5IT025 Gly-Glu (N)	-3.904	-8.324	False
AO353_00310	set5IT026 L-Citrulline (N)	-3.955	-13.258	False
AO353_00310	set5IT027 Carnitine Hydrochloride (N)	-3.856	-13.579	False
AO353_00310	set5IT028 Putrescine (N)	-4.1	-12.039	False
AO353_00310	set5IT029 NAG (N)	-4.034	-11.005	False
AO353_00310	set5IT030 D-Glucosamine Hydrochloride (N)	-3.675	-12.118	False
AO353_00310	set5IT031 Parabanic Acid (N)	-2.617	-9.022	False
AO353_00310	set5IT032 Adenosine (N)	-3.867	-10.55	False
AO353_00310	set5IT033 Adenine (N)	-3.387	-11.879	False
AO353_00310	set5IT034 Uridine (N)	-4.179	-13.061	False
AO353_00310	set5IT035 Inosine (N)	-3.4	-11.58	False
AO353_00310	set5IT036 Thymine (N)	-4.268	-10.995	False
AO353_00310	set5IT037 Ammonium chloride (N)	-4.224	-11.211	False
AO353_00310	set5IT038 nitrate (N)	-3.82	-12.163	False
AO353_00310	set5IT039 nitrite (N)	-3.762	-11.528	False
AO353_00310	set5IT040 Urea (N)	-3.799	-11.872	False
AO353_00310	set6IT057 Minimal media pH6	-4.053	-10.427	False
AO353_00310	set6IT058 Minimal media pH6	-4.103	-9.881	False
AO353_00310	set6IT060 Minimal media pH7	-3.512	-10.953	False
AO353_00310	set6IT061 Minimal media pH8	-3.611	-12.453	False
AO353_00310	set6IT062 Minimal media pH8	-4.248	-11.876	False
AO353_00310	set6IT063 Minimal media pH9	-3.953	-10.769	False
AO353_00310	set6IT064 Minimal media pH9	-3.866	-10.245	False
AO353_00310	set6IT081 L-Arginine (N)	-3.588	-9.217	False
AO353_00310	set6IT082 L-Histidine (N)	-3.308	-10.296	False
AO353_00310	set6IT083 L-Lysine (N)	-3.663	-10.222	False
AO353_00310	set6IT084 L-Glutamic (N)	-2.363	-10.21	False
AO353_00310	set6IT085 L-Serine (N)	-3.266	-10.542	False
AO353_00310	set6IT086 L-Threonine (N)	-3.703	-9.798	False
AO353_00310	set6IT087 L-Glutamine (N)	-2.818	-11.799	False
AO353_00310	set6IT088 Glycine (N)	-3.162	-10.205	False
AO353_00310	set6IT089 L-Arginine (N)	-3.472	-8.641	False
AO353_00310	set6IT090 L-Histidine (N)	-3.473	-9.693	False
AO353_00310	set6IT091 L-Lysine (N)	-3.612	-9.557	False
AO353_00310	set6IT092 L-Glutamic (N)	-2.209	-9.822	False
AO353_00310	set6IT093 L-Serine (N)	-3.361	-10.459	False
AO353_00310	set6IT094 L-Threonine (N)	-3.239	-11.142	False
AO353_00310	set6IT095 L-Glutamine (N)	-3.134	-10.116	False
AO353_00310	set6IT096 Glycine (N)	-3.697	-9.2	False
AO353_00330	set1IT082 propionate (C)	-1.227	-5.959	False
AO353_00330	set2IT014 m-Inositol (C)	-1.203	-5.507	False
AO353_00330	set2IT016 Glycerol (C)	-1.129	-5.704	False
AO353_00330	set2IT018 Tween 20 (C)	-1.135	-5.472	False
AO353_00330	set2IT034 Glycerol (C)	-1.452	-7.215	False
AO353_00330	set3IT057 nitrate 200 mM	-2.286	-7.711	False
AO353_00330	set3IT060 perchlorate 75 mM	-2.246	-7.907	False
AO353_00330	set3IT064 Benzethonium chloride 0.025 mM	-3.381	-8.113	False
AO353_00330	set3IT070 Fusidic 0.125 mg/ml	-1.37	-6.521	False
AO353_00330	set3IT078 Chloramphenicol 0.0025 mg/ml	-1.777	-7.628	False
AO353_00330	set3IT079 Chloramphenicol 0.004 mg/ml	-1.943	-8.216	False
AO353_00330	set3IT081 Tetracycline 0.0016 mg/ml	-1.398	-6.519	False
AO353_00330	set3IT093 Lomefloxacin 0.001 mM	-2.724	-5.786	False
AO353_00330	set3IT096 methylglyoxal 0.008 vol%	-1.227	-6.203	False
AO353_00330	set4IT051 methylglyoxal 0.009 vol%	-1.749	-7.818	False
AO353_00330	set4IT054 Vanillin 1.25 mM	-1.141	-5.862	False
AO353_00330	set4IT059 syringaldehyde 5 mM	-1.351	-6.437	False
AO353_00330	set4IT077 1-ethyl-3-methylimidazolium acetate 30 mM	-1.381	-6.598	False
AO353_00330	set4IT081 Nalidixic 0.004 mg/ml	-2.665	-8.312	False
AO353_00330	set4IT085 Doxycycline hyclate 0.0002 mg/ml	-2.8	-8.417	False
AO353_00330	set4IT086 Doxycycline hyclate 0.0006 mg/ml	-1.664	-5.191	False
AO353_00330	set4IT088 Benzalkonium Chloride 0.01 mg/ml	-2.824	-8.321	False
AO353_00330	set4IT089 Benzalkonium Chloride 0.012 mg/ml	-2.804	-7.535	False
AO353_00330	set5IT017 D-Mannose (C)	-1.062	-6.119	False
AO353_00330	set5IT041 outer cut, LB soft agar motility assay	-1.231	-5.05	False
AO353_00330	set5IT042 outer cut, LB soft agar motility assay	-1.122	-4.983	False
AO353_00330	set5IT043 outer cut, LB soft agar motility assay	-1.509	-6.989	False
AO353_00330	set6IT058 Minimal media pH6	-1.452	-7.41	False
AO353_00330	set6IT060 Minimal media pH7	-1.335	-6.751	False
AO353_00330	set6IT061 Minimal media pH8	-1.185	-6.893	False
AO353_00330	set6IT062 Minimal media pH8	-1.798	-9.627	False
AO353_00330	set6IT070 4C survival; 192 hrs	-2.088	-9.861	False
AO353_00330	set6IT071 4C survival; 360 hrs	-2.227	-9.268	False
AO353_00330	set6IT072 4C survival; 672 hrs	-2.493	-6.792	False
AO353_00330	set6IT084 L-Glutamic (N)	-1.491	-7.388	False
AO353_00330	set6IT087 L-Glutamine (N)	-1.05	-5.81	False
AO353_00330	set6IT092 L-Glutamic (N)	-1.404	-7.674	False
AO353_00330	set6IT095 L-Glutamine (N)	-1.055	-5.371	False
AO353_00330	set6IT096 Glycine (N)	-1.102	-6.166	False
AO353_00345	set15IT091 D-Glucose	-1.464	-4.747	False
AO353_00345	set1IT059 acetate (C)	-1.452	-5.274	False
AO353_00360	set4IT088 Benzalkonium Chloride 0.01 mg/ml	-1.336	-4.092	False
AO353_00360	set4IT089 Benzalkonium Chloride 0.012 mg/ml	-1.599	-4.673	False
AO353_00360	set5IT031 Parabanic Acid (N)	-2.121	-4.544	False
AO353_00430	set1IT057 a-Ketoglutaric (C)	-4.296	-5.09	False
AO353_00430	set1IT061 Trisodium citrate (C)	-4.68	-4.547	False
AO353_00430	set1IT062 D-Lactate (C)	-4.687	-4.554	False
AO353_00430	set1IT064 D,L-Lactate (C)	-3.966	-6.013	False
AO353_00430	set1IT065 pyruvate (C)	-3.791	-5.163	False
AO353_00430	set1IT066 succinate (C)	-4.355	-5.159	False
AO353_00430	set1IT072 a-Ketoglutaric (C)	-4.743	-4.608	False
AO353_00430	set1IT076 Trisodium citrate (C)	-4.434	-5.253	False
AO353_00430	set1IT078 L-Lactate (C)	-4.407	-5.221	False
AO353_00430	set1IT080 pyruvate (C)	-3.568	-5.411	False
AO353_00430	set1IT081 succinate (C)	-3.967	-5.403	False
AO353_00430	set1IT082 propionate (C)	-2.161	-4.092	False
AO353_00430	set1IT085 Cobalt chloride 0.32 mM	-1.704	-4.264	False
AO353_00430	set1IT086 copper (II) chloride 2.5 mM	-1.977	-5.083	False
AO353_00430	set1IT092 Cobalt chloride 0.32 mM	-1.735	-4.499	False
AO353_00430	set1IT093 copper (II) chloride 2.5 mM	-2.431	-5.01	False
AO353_00430	set2IT019 L-Malic (C)	-2.705	-4.044	False
AO353_00430	set2IT036 Tween 20 (C)	-2.71	-4.052	False
AO353_00430	set2IT045 L-Asparagine (C)	-2.548	-4.146	False
AO353_00430	set3IT087 Vancomycin 1 mg/ml	-2.079	-4.762	False
AO353_00430	set3IT094 D-Cycloserine 0.1 mg/ml	-1.796	-4.433	False
AO353_00430	set4IT069 Cholin acetate 19 mM	-2.843	-4.228	False
AO353_00430	set4IT070 Cholin acetate 38 mM	-2.609	-4.52	False
AO353_00430	set4IT071 acetate 17 mM	-3.07	-4.117	False
AO353_00430	set4IT072 acetate 34 mM	-2.851	-4.241	False
AO353_00430	set4IT073 acetate 68 mM	-2.189	-4.024	False
AO353_00430	set4IT076 1-ethyl-3-methylimidazolium acetate 20 mM	-1.945	-4.102	False
AO353_00430	set4IT077 1-ethyl-3-methylimidazolium acetate 30 mM	-2.582	-4.175	False
AO353_00430	set4IT080 LB	-1.84	-4.285	False
AO353_00430	set4IT082 Gentamicin 0.006 mg/ml	-1.924	-4.057	False
AO353_00430	set4IT090 LB	-1.875	-4.099	False
AO353_00430	set5IT003 L-Isoleucine (C)	-3.415	-4.044	False
AO353_00430	set5IT008 D-Alanine (C)	-3.14	-4.273	False
AO353_00430	set5IT009 L-Citrulline (C)	-4.319	-5.113	False
AO353_00430	set5IT010 Carnitine Hydrochloride (C)	-3.954	-5.381	False
AO353_00430	set5IT011 casaminos (C)	-3.795	-5.749	False
AO353_00430	set5IT012 Putrescine (C)	-4.541	-4.411	False
AO353_00430	set5IT018 butyrate (C)	-4.216	-4.992	False
AO353_00430	set6IT050 LB 10C	-3.315	-4.483	False
AO353_00430	set6IT051 LB 20C	-2.608	-4.267	False
AO353_00430	set6IT052 LB 20C	-3.49	-4.112	False
AO353_00430	set6IT053 LB 30C	-3.276	-4.429	False
AO353_00430	set6IT057 Minimal media pH6	-1.647	-4.083	False
AO353_00430	set6IT058 Minimal media pH6	-2.44	-5.036	False
AO353_00430	set6IT060 Minimal media pH7	-2.839	-4.645	False
AO353_00435	set2IT005 Cisplatin 0.006 mg/ml	-2.527	-10.731	False
AO353_00435	set2IT010 Cisplatin 0.006 mg/ml	-2.619	-11.522	False
AO353_00435	set6IT072 4C survival; 672 hrs	-1.304	-8.958	False
AO353_00455	set5IT010 Carnitine Hydrochloride (C)	-3.112	-4.485	False
AO353_00460	set1IT071 D-Ribose (C)	-2.573	-4.267	False
AO353_00460	set1IT091 Cobalt chloride 0.16 mM	-2.335	-4.093	False
AO353_00470	set2IT005 Cisplatin 0.006 mg/ml	-1.15	-4.002	False
AO353_00470	set2IT010 Cisplatin 0.006 mg/ml	-1.39	-4.68	False
AO353_00490	set1IT060 Fumarate (C)	-2.214	-4.584	False
AO353_00490	set1IT061 Trisodium citrate (C)	-2.926	-4.12	False
AO353_00490	set1IT076 Trisodium citrate (C)	-3.497	-4.796	False
AO353_00490	set6IT062 Minimal media pH8	-1.685	-4.152	False
AO353_00495	set6IT050 LB 10C	-2.758	-4.104	False
AO353_00505	set2IT018 Tween 20 (C)	-3.529	-4.778	False
AO353_00505	set3IT084 Spectinomycin 0.2 mg/ml	-1.799	-4.289	False
AO353_00505	set5IT002 L-Valine (C)	-2.664	-4.04	False
AO353_00505	set5IT006 L-Tryptophan (C)	-2.31	-4.111	False
AO353_00505	set5IT041 outer cut, LB soft agar motility assay	-1.588	-4.285	False
AO353_00505	set6IT063 Minimal media pH9	-2.718	-6.167	False
AO353_00505	set6IT064 Minimal media pH9	-2.448	-5.517	False
AO353_00510	set15IT089 L-Citrulline	-1.981	-6.046	False
AO353_00510	set15IT090 L-Citrulline	-1.75	-5.455	False
AO353_00510	set15IT095 L-Citrulline	-1.657	-5.056	False
AO353_00510	set1IT067 propionate (C)	-1.295	-4.707	False
AO353_00510	set2IT014 m-Inositol (C)	-1.491	-4.819	False
AO353_00510	set2IT018 Tween 20 (C)	-3.46	-5.247	False
AO353_00510	set2IT020 D-Trehalose (C)	-1.742	-5.543	False
AO353_00510	set2IT021 L-Arginine (C)	-1.901	-5.752	False
AO353_00510	set2IT022 L-Histidine (C)	-1.214	-4.435	False
AO353_00510	set2IT032 m-Inositol (C)	-1.56	-4.964	False
AO353_00510	set2IT036 Tween 20 (C)	-3.392	-6.034	False
AO353_00510	set2IT038 D-Trehalose (C)	-1.725	-5.125	False
AO353_00510	set2IT039 L-Arginine (C)	-1.651	-5.415	False
AO353_00510	set2IT040 L-Histidine (C)	-1.522	-5.562	False
AO353_00510	set3IT083 Spectinomycin 0.15 mg/ml	-1.622	-4.825	False
AO353_00510	set3IT084 Spectinomycin 0.2 mg/ml	-1.805	-5.334	False
AO353_00510	set4IT074 1-ethyl-3-methylimidazolium lysine 10.5 mM	-1.469	-4.954	False
AO353_00510	set4IT077 1-ethyl-3-methylimidazolium acetate 30 mM	-1.555	-5.055	False
AO353_00510	set4IT078 1-ethyl-3-methylimidazolium chloride 170 mM	-1.353	-4.763	False
AO353_00510	set4IT079 Choline Lysine 12 mM	-1.058	-4.192	False
AO353_00510	set4IT082 Gentamicin 0.006 mg/ml	-2.243	-5.417	False
AO353_00510	set5IT002 L-Valine (C)	-2.268	-5.017	False
AO353_00510	set5IT004 L-Leucine (C)	-3.194	-4.365	False
AO353_00510	set5IT005 L-Phenylalanine (C)	-1.989	-4.914	False
AO353_00510	set5IT006 L-Tryptophan (C)	-2.556	-5.15	False
AO353_00510	set5IT009 L-Citrulline (C)	-2.615	-7.032	False
AO353_00510	set5IT010 Carnitine Hydrochloride (C)	-1.291	-4.49	False
AO353_00510	set5IT012 Putrescine (C)	-2.581	-7.14	False
AO353_00510	set5IT016 Cytidine (C)	-1.251	-5.252	False
AO353_00510	set5IT018 butyrate (C)	-1.46	-5.268	False
AO353_00510	set5IT043 outer cut, LB soft agar motility assay	-1.721	-4.511	False
AO353_00510	set6IT063 Minimal media pH9	-2.974	-6.523	False
AO353_00510	set6IT064 Minimal media pH9	-2.276	-5.64	False
AO353_00510	set6IT071 4C survival; 360 hrs	-1.323	-4.087	False
AO353_00515	set1IT063 L-Lactate (C)	-1.487	-4.183	False
AO353_00515	set1IT067 propionate (C)	-2.432	-4.303	False
AO353_00515	set1IT080 pyruvate (C)	-1.969	-4.103	False
AO353_00515	set3IT061 Polymyxin B sulfate 4 mg/ml	-2.429	-4.535	False
AO353_00515	set3IT082 Spectinomycin 0.1 mg/ml	-2.246	-4.172	False
AO353_00515	set3IT083 Spectinomycin 0.15 mg/ml	-2.97	-4.446	False
AO353_00515	set5IT012 Putrescine (C)	-1.671	-4.105	False
AO353_00515	set6IT049 LB 10C	-3.587	-4.854	False
AO353_00515	set6IT050 LB 10C	-2.537	-5.005	False
AO353_00515	set6IT051 LB 20C	-1.988	-4.454	False
AO353_00515	set6IT070 4C survival; 192 hrs	-1.735	-4.024	False
AO353_00520	set15IT087 L-Ornithine	-2.744	-4.872	False
AO353_00520	set15IT089 L-Citrulline	-2.58	-4.58	False
AO353_00520	set15IT093 L-Ornithine	-2.608	-5.459	False
AO353_00520	set15IT096 D-Glucose	-1.767	-4.183	False
AO353_00530	set4IT087 Ceftazidime 0.12 mg/ml	-3.987	-11.956	False
AO353_00550	set4IT089 Benzalkonium Chloride 0.012 mg/ml	-1.103	-7.472	False
AO353_00560	set15IT089 L-Citrulline	-1.551	-4.008	False
AO353_00575	set5IT043 outer cut, LB soft agar motility assay	-2.703	-7.728	False
AO353_00585	set5IT043 outer cut, LB soft agar motility assay	-1.054	-4.924	False
AO353_00585	set6IT058 Minimal media pH6	-1.871	-10.526	False
AO353_00585	set6IT062 Minimal media pH8	-1.497	-8.854	False
AO353_00585	set6IT070 4C survival; 192 hrs	-1.351	-8.671	False
AO353_00585	set6IT081 L-Arginine (N)	-1.017	-6.741	False
AO353_00585	set6IT087 L-Glutamine (N)	-1.108	-7.624	False
AO353_00590	set2IT022 L-Histidine (C)	-1.122	-4.278	False
AO353_00590	set6IT058 Minimal media pH6	-1.423	-5.033	False
AO353_00590	set6IT062 Minimal media pH8	-1.106	-4.772	False
AO353_00600	set6IT058 Minimal media pH6	-2.429	-8.625	False
AO353_00600	set6IT062 Minimal media pH8	-1.333	-5.303	False
AO353_00600	set6IT070 4C survival; 192 hrs	-1.137	-4.932	False
AO353_00600	set6IT087 L-Glutamine (N)	-1.004	-4.697	False
AO353_00600	set6IT089 L-Arginine (N)	-1.028	-4.056	False
AO353_00600	set6IT090 L-Histidine (N)	-1.173	-4.55	False
AO353_00605	set15IT087 L-Ornithine	-1.56	-4.366	False
AO353_00605	set15IT088 L-Ornithine	-1.475	-4.778	False
AO353_00605	set15IT089 L-Citrulline	-1.19	-4.021	False
AO353_00605	set15IT093 L-Ornithine	-1.337	-4.619	False
AO353_00605	set1IT062 D-Lactate (C)	-1.755	-7.383	False
AO353_00605	set1IT064 D,L-Lactate (C)	-1.214	-5.309	False
AO353_00605	set1IT065 pyruvate (C)	-1.483	-5.834	False
AO353_00605	set1IT066 succinate (C)	-1.275	-5.763	False
AO353_00605	set1IT077 D-Lactate (C)	-1.343	-5.714	False
AO353_00605	set1IT081 succinate (C)	-2.278	-8.014	False
AO353_00605	set2IT027 L-Asparagine (C)	-1.1	-4.534	False
AO353_00605	set2IT045 L-Asparagine (C)	-1.272	-5.487	False
AO353_00605	set4IT074 1-ethyl-3-methylimidazolium lysine 10.5 mM	-1.446	-5.215	False
AO353_00605	set5IT002 L-Valine (C)	-1.294	-4.307	False
AO353_00605	set5IT004 L-Leucine (C)	-1.591	-4.931	False
AO353_00605	set5IT010 Carnitine Hydrochloride (C)	-1.423	-4.943	False
AO353_00605	set5IT012 Putrescine (C)	-1.958	-7.275	False
AO353_00605	set5IT020 L-tyrosine (N)	-1.177	-5.096	False
AO353_00605	set5IT042 outer cut, LB soft agar motility assay	-1.268	-4.492	False
AO353_00605	set5IT043 outer cut, LB soft agar motility assay	-1.549	-5.664	False
AO353_00620	set1IT062 D-Lactate (C)	-2.539	-4.116	False
AO353_00630	set2IT045 L-Asparagine (C)	-1.549	-6.255	False
AO353_00630	set6IT058 Minimal media pH6	-1.64	-5.686	False
AO353_00630	set6IT062 Minimal media pH8	-1.178	-4.846	False
AO353_00630	set6IT063 Minimal media pH9	-1.416	-4.98	False
AO353_00635	set6IT058 Minimal media pH6	-2.106	-4.706	False
AO353_00635	set6IT070 4C survival; 192 hrs	-2.752	-5.112	False
AO353_00650	set6IT058 Minimal media pH6	-2.088	-4.075	False
AO353_00650	set6IT070 4C survival; 192 hrs	-3.06	-4.575	False
AO353_00655	set15IT087 L-Ornithine	-1.891	-6.037	False
AO353_00655	set15IT088 L-Ornithine	-1.61	-6.51	False
AO353_00655	set15IT089 L-Citrulline	-1.435	-5.38	False
AO353_00655	set15IT090 L-Citrulline	-1.37	-5.719	False
AO353_00655	set15IT091 D-Glucose	-1.548	-6.569	False
AO353_00655	set15IT092 L-Ornithine	-1.421	-4.207	False
AO353_00655	set15IT093 L-Ornithine	-1.291	-5.695	False
AO353_00655	set15IT094 L-Citrulline	-1.763	-5.721	False
AO353_00655	set15IT095 L-Citrulline	-1.398	-5.296	False
AO353_00655	set15IT096 D-Glucose	-1.667	-6.443	False
AO353_00655	set6IT072 4C survival; 672 hrs	-1.154	-5.749	False
AO353_00660	set6IT058 Minimal media pH6	-3.66	-4.302	False
AO353_00660	set6IT062 Minimal media pH8	-2.531	-4.437	False
AO353_00675	set2IT005 Cisplatin 0.006 mg/ml	-2.01	-4.1	False
AO353_00675	set2IT010 Cisplatin 0.006 mg/ml	-1.685	-4.81	False
AO353_00675	set3IT094 D-Cycloserine 0.1 mg/ml	-1.053	-4.761	False
AO353_00695	set4IT073 acetate 68 mM	-1.233	-6.342	False
AO353_00695	set6IT072 4C survival; 672 hrs	-1.06	-4.912	False
AO353_00700	set2IT009 Thallium(I) acetate 0.016 mg/ml	-1.103	-4.299	False
AO353_00700	set5IT040 Urea (N)	-1.053	-4.894	False
AO353_00700	set5IT041 outer cut, LB soft agar motility assay	-1.129	-4.184	False
AO353_00700	set5IT042 outer cut, LB soft agar motility assay	-1.825	-6.034	False
AO353_00705	set5IT042 outer cut, LB soft agar motility assay	-1.301	-4.216	False
AO353_00720	set2IT005 Cisplatin 0.006 mg/ml	-1.039	-4.357	False
AO353_00720	set2IT010 Cisplatin 0.006 mg/ml	-1.473	-5.331	False
AO353_00720	set4IT089 Benzalkonium Chloride 0.012 mg/ml	-1.28	-5.712	False
AO353_00725	set4IT089 Benzalkonium Chloride 0.012 mg/ml	-1.292	-4.299	False
AO353_00740	set5IT032 Adenosine (N)	-1.056	-5.573	False
AO353_00750	set1IT056 D-Ribose (C)	-1.766	-5.021	False
AO353_00750	set1IT059 acetate (C)	-2.396	-4.255	False
AO353_00750	set1IT061 Trisodium citrate (C)	-2.243	-5.545	False
AO353_00750	set1IT062 D-Lactate (C)	-2.83	-6.44	False
AO353_00750	set1IT072 a-Ketoglutaric (C)	-1.844	-4.779	False
AO353_00750	set1IT074 acetate (C)	-2.031	-4.255	False
AO353_00750	set1IT076 Trisodium citrate (C)	-1.698	-4.239	False
AO353_00750	set1IT077 D-Lactate (C)	-2.031	-5.102	False
AO353_00750	set1IT079 D,L-Lactate (C)	-1.272	-4.09	False
AO353_00750	set1IT081 succinate (C)	-1.686	-4.334	False
AO353_00750	set2IT016 Glycerol (C)	-1.937	-4.461	False
AO353_00750	set2IT034 Glycerol (C)	-2.083	-4.636	False
AO353_00750	set5IT005 L-Phenylalanine (C)	-2.061	-4.018	False
AO353_00750	set5IT009 L-Citrulline (C)	-2.347	-5.753	False
AO353_00750	set5IT015 Uridine (C)	-2.671	-5.819	False
AO353_00750	set5IT016 Cytidine (C)	-1.819	-4.282	False
AO353_00750	set5IT018 butyrate (C)	-3.118	-6.247	False
AO353_00750	set5IT020 L-tyrosine (N)	-1.392	-4.586	False
AO353_00750	set5IT038 nitrate (N)	-1.454	-4.231	False
AO353_00750	set5IT039 nitrite (N)	-2.01	-4.965	False
AO353_00750	set5IT041 outer cut, LB soft agar motility assay	-2.607	-4.962	False
AO353_00750	set5IT042 outer cut, LB soft agar motility assay	-2.961	-4.494	False
AO353_00750	set6IT057 Minimal media pH6	-1.622	-4.874	False
AO353_00750	set6IT058 Minimal media pH6	-2.151	-4.665	False
AO353_00750	set6IT061 Minimal media pH8	-1.583	-5.071	False
AO353_00750	set6IT062 Minimal media pH8	-2.163	-5.226	False
AO353_00750	set6IT063 Minimal media pH9	-2.865	-5.668	False
