genus	gcf	hg	is_core	tajimas_d
C_tuberculostearicum_clade	GCF_1	OG0001683	FALSE	1.28
C_tuberculostearicum_clade	GCF_1	OG0001684	FALSE	1.41
C_tuberculostearicum_clade	GCF_1	OG0001685	FALSE	1.61
C_tuberculostearicum_clade	GCF_1	OG0001686	FALSE	1.64
C_tuberculostearicum_clade	GCF_1	OG0001687	FALSE	1.45
C_tuberculostearicum_clade	GCF_1	OG0001688	FALSE	1.64
C_tuberculostearicum_clade	GCF_1	OG0001689	FALSE	1.81
C_tuberculostearicum_clade	GCF_1	OG0001690	TRUE	1.52
C_tuberculostearicum_clade	GCF_1	OG0001691	TRUE	1.57
C_tuberculostearicum_clade	GCF_1	OG0001692	FALSE	2.38
C_tuberculostearicum_clade	GCF_1	OG0001693	FALSE	1.8
C_tuberculostearicum_clade	GCF_1	OG0001694	FALSE	1.87
C_tuberculostearicum_clade	GCF_1	OG0001695	FALSE	1.53
C_tuberculostearicum_clade	GCF_1	OG0001696	FALSE	1.13
C_tuberculostearicum_clade	GCF_2	OG0001565	FALSE	1.34
C_tuberculostearicum_clade	GCF_2	OG0001566	FALSE	0.92
C_tuberculostearicum_clade	GCF_2	OG0001567	FALSE	1.5
C_tuberculostearicum_clade	GCF_2	OG0001568	FALSE	-0.25
C_tuberculostearicum_clade	GCF_2	OG0002250	FALSE	2.37
C_tuberculostearicum_clade	GCF_2	OG0001569	FALSE	1.07
C_tuberculostearicum_clade	GCF_2	OG0001570	FALSE	1.66
C_tuberculostearicum_clade	GCF_2	OG0001571	FALSE	1.94
C_tuberculostearicum_clade	GCF_2	OG0001572	FALSE	1.58
C_tuberculostearicum_clade	GCF_2	OG0001573	TRUE	1.73
C_tuberculostearicum_clade	GCF_2	OG0001574	FALSE	1.33
C_tuberculostearicum_clade	GCF_2	OG0001575	FALSE	1.27
C_tuberculostearicum_clade	GCF_2	OG0001576	FALSE	1.34
C_tuberculostearicum_clade	GCF_2	OG0001577	FALSE	1.86
C_tuberculostearicum_clade	GCF_2	OG0001578	FALSE	0.97
C_tuberculostearicum_clade	GCF_2	OG0001579	FALSE	1.77
C_tuberculostearicum_clade	GCF_2	OG0001580	FALSE	3.4
C_tuberculostearicum_clade	GCF_3	OG0001605	FALSE	1.12
C_tuberculostearicum_clade	GCF_3	OG0001604	FALSE	3.94
C_tuberculostearicum_clade	GCF_3	OG0001603	FALSE	1.49
C_tuberculostearicum_clade	GCF_3	OG0001602	FALSE	0.52
C_tuberculostearicum_clade	GCF_3	OG0001601	FALSE	0.94
C_tuberculostearicum_clade	GCF_3	OG0001600	FALSE	0.73
C_tuberculostearicum_clade	GCF_3	OG0001599	FALSE	-0.24
C_tuberculostearicum_clade	GCF_3	OG0001598	FALSE	1.54
C_tuberculostearicum_clade	GCF_3	OG0001597	FALSE	0.34
C_tuberculostearicum_clade	GCF_3	OG0001595	FALSE	-0.31
C_tuberculostearicum_clade	GCF_3	OG0001594	FALSE	1.41
C_tuberculostearicum_clade	GCF_3	OG0001593	FALSE	1.01
C_tuberculostearicum_clade	GCF_3	OG0001592	FALSE	1.28
C_tuberculostearicum_clade	GCF_3	OG0001591	FALSE	0.96
C_tuberculostearicum_clade	GCF_3	OG0001590	FALSE	1.32
C_tuberculostearicum_clade	GCF_3	OG0001589	FALSE	1.16
C_tuberculostearicum_clade	GCF_3	OG0001588	FALSE	0.73
C_tuberculostearicum_clade	GCF_3	OG0001587	FALSE	1.11
C_tuberculostearicum_clade	GCF_3	OG0001586	FALSE	1.63
C_tuberculostearicum_clade	GCF_3	OG0001585	FALSE	1.19
C_tuberculostearicum_clade	GCF_3	OG0001584	FALSE	1.77
C_tuberculostearicum_clade	GCF_3	OG0001583	FALSE	1.2
C_tuberculostearicum_clade	GCF_3	OG0001582	FALSE	0.85
M_luteus	GCF_1	OG0000598	FALSE	-0.13
M_luteus	GCF_1	OG0000599	FALSE	-0.61
M_luteus	GCF_1	OG0000600	FALSE	-0.97
M_luteus	GCF_1	OG0000601	FALSE	-0.7
M_luteus	GCF_1	OG0000602	FALSE	0.26
M_luteus	GCF_1	OG0000603	FALSE	0.48
M_luteus	GCF_1	OG0000604	FALSE	-0.84
M_luteus	GCF_1	OG0000605	FALSE	-1.59
M_luteus	GCF_1	OG0000606	FALSE	-1.47
M_luteus	GCF_1	OG0000607	FALSE	-1.93
M_luteus	GCF_1	OG0000608	FALSE	-2.19
M_luteus	GCF_1	OG0000609	TRUE	-1.9
M_luteus	GCF_1	OG0000610	TRUE	-0.85
M_luteus	GCF_1	OG0000611	FALSE	-2.19
M_luteus	GCF_1	OG0000612	FALSE	-0.56
M_luteus	GCF_1	OG0000613	FALSE	-1.18
M_luteus	GCF_1	OG0001875	FALSE	-1.1
M_luteus	GCF_1	OG0000614	FALSE	-1.45
M_luteus	GCF_2	OG0000339	FALSE	-1.5
M_luteus	GCF_2	OG0000338	FALSE	-1.3
M_luteus	GCF_2	OG0000337	FALSE	2.34
M_luteus	GCF_2	OG0001761	FALSE	-1.5
M_luteus	GCF_2	OG0000336	TRUE	-0.87
M_luteus	GCF_2	OG0000335	FALSE	-1.02
M_luteus	GCF_2	OG0000334	FALSE	-1.36
M_luteus	GCF_3	OG0001070	FALSE	-1.5
M_luteus	GCF_3	OG0001072	FALSE	-0.87
M_luteus	GCF_3	OG0001073	FALSE	-0.57
M_luteus	GCF_3	OG0001074	FALSE	-1.01
M_luteus	GCF_3	OG0001075	FALSE	-0.93
M_luteus	GCF_3	OG0001076	TRUE	-0.98
M_luteus	GCF_3	OG0001077	TRUE	-1.34
M_luteus	GCF_3	OG0001078	FALSE	-1.2
M_luteus	GCF_3	OG0001079	FALSE	0.25
M_luteus	GCF_3	OG0001080	FALSE	-0.5
M_luteus	GCF_3	OG0001081	FALSE	-0.58
M_luteus	GCF_3	OG0001082	FALSE	-0.9
M_luteus	GCF_3	OG0001083	FALSE	-0.3
M_luteus	GCF_3	OG0001084	FALSE	0.37
M_luteus	GCF_3	OG0001085	FALSE	-1
M_luteus	GCF_3	OG0001086	FALSE	-1.19
M_luteus	GCF_4	OG0001030	FALSE	-1.63
M_luteus	GCF_4	OG0001032	FALSE	-0.23
M_luteus	GCF_4	OG0001033	FALSE	0.07
M_luteus	GCF_4	OG0001034	FALSE	3.86
M_luteus	GCF_4	OG0001836	FALSE	-1.24
M_luteus	GCF_4	OG0001036	FALSE	-1.5
M_luteus	GCF_4	OG0001837	FALSE	-0.05
M_luteus	GCF_4	OG0001037	FALSE	-0.39
M_luteus	GCF_4	OG0001038	FALSE	-0.99
M_luteus	GCF_4	OG0001039	FALSE	-1.44
M_luteus	GCF_4	OG0001040	TRUE	-0.98
M_luteus	GCF_4	OG0001041	FALSE	-0.41
M_luteus	GCF_4	OG0001042	FALSE	-0.04
M_luteus	GCF_4	OG0001043	FALSE	-0.18
M_luteus	GCF_4	OG0001044	FALSE	-0.47
M_luteus	GCF_4	OG0001045	FALSE	-0.77
M_luteus	GCF_4	OG0001046	FALSE	-0.69
M_luteus	GCF_4	OG0001047	FALSE	-1.12
M_luteus	GCF_4	OG0001048	FALSE	-1.73
M_luteus	GCF_4	OG0001049	FALSE	-0.08
M_luteus	GCF_4	OG0001050	FALSE	-0.52
M_luteus	GCF_5	OG0001989	FALSE	-0.58
M_luteus	GCF_5	OG0001650	FALSE	-0.71
M_luteus	GCF_5	OG0001649	FALSE	-1.35
M_luteus	GCF_5	OG0001648	FALSE	0.31
M_luteus	GCF_5	OG0001647	FALSE	-0.76
M_luteus	GCF_5	OG0001646	FALSE	-1.45
M_luteus	GCF_5	OG0001645	FALSE	-1.42
M_luteus	GCF_5	OG0001988	TRUE	-1.06
M_luteus	GCF_5	OG0001644	TRUE	-1.34
M_luteus	GCF_5	OG0001987	FALSE	-1.04
M_luteus	GCF_5	OG0001643	FALSE	-2.13
M_luteus	GCF_5	OG0001642	FALSE	-1.26
M_luteus	GCF_5	OG0001641	FALSE	-1.7
M_luteus	GCF_5	OG0001640	FALSE	-1.86
M_luteus	GCF_5	OG0001639	FALSE	-1.68
M_luteus	GCF_5	OG0001638	FALSE	-1.5
M_luteus	GCF_5	OG0001637	FALSE	-0.57
M_luteus	GCF_6	OG0001340	FALSE	-1.32
M_luteus	GCF_6	OG0001339	FALSE	-0.22
M_luteus	GCF_6	OG0001338	FALSE	-0.14
M_luteus	GCF_6	OG0001847	FALSE	-0.47
M_luteus	GCF_6	OG0001337	FALSE	-0.01
M_luteus	GCF_6	OG0001336	FALSE	-1.23
M_luteus	GCF_6	OG0002168	TRUE	-1.47
M_luteus	GCF_6	OG0002167	TRUE	-1.76
M_luteus	GCF_6	OG0002166	TRUE	-1.63
M_luteus	GCF_6	OG0002165	FALSE	-0.25
M_luteus	GCF_6	OG0002164	FALSE	-0.47
M_luteus	GCF_6	OG0002163	FALSE	-2.54
S_epidermidis	GCF_1	OG0001411	FALSE	-1.09
S_epidermidis	GCF_1	OG0001412	FALSE	-0.54
S_epidermidis	GCF_1	OG0001413	FALSE	-1.15
S_epidermidis	GCF_1	OG0001414	FALSE	-0.35
S_epidermidis	GCF_1	OG0001415	TRUE	-1.35
S_epidermidis	GCF_1	OG0001416	TRUE	-0.47
S_epidermidis	GCF_1	OG0001417	FALSE	-2.5
S_epidermidis	GCF_1	OG0001418	FALSE	-2.03
S_epidermidis	GCF_1	OG0001419	FALSE	-2.44
S_epidermidis	GCF_1	OG0001420	FALSE	-1.16
S_epidermidis	GCF_1	OG0001421	FALSE	-1.03
S_epidermidis	GCF_1	OG0003076	FALSE	-0.96
S_epidermidis	GCF_12	OG0002908	TRUE	-0.87
S_epidermidis	GCF_12	OG0002907	FALSE	-0.56
S_epidermidis	GCF_12	OG0002906	FALSE	-1.02
S_epidermidis	GCF_2	OG0001704	FALSE	-1.6
S_epidermidis	GCF_2	OG0001701	FALSE	-1.42
S_epidermidis	GCF_2	OG0001700	FALSE	-2
S_epidermidis	GCF_2	OG0001699	FALSE	-1.55
S_epidermidis	GCF_2	OG0001698	FALSE	-2.45
S_epidermidis	GCF_2	OG0001697	FALSE	-0.7
S_epidermidis	GCF_2	OG0001696	FALSE	-0.93
S_epidermidis	GCF_2	OG0001695	FALSE	-0.86
S_epidermidis	GCF_2	OG0001694	FALSE	-0.6
S_epidermidis	GCF_2	OG0001693	FALSE	-1.14
S_epidermidis	GCF_2	OG0001692	FALSE	-1.69
S_epidermidis	GCF_2	OG0001691	FALSE	-0.99
S_epidermidis	GCF_2	OG0001690	FALSE	-1.16
S_epidermidis	GCF_2	OG0001689	TRUE	-0.62
S_epidermidis	GCF_2	OG0001688	FALSE	0.21
S_epidermidis	GCF_2	OG0001687	FALSE	-1.27
S_epidermidis	GCF_2	OG0001982	FALSE	-2.54
S_epidermidis	GCF_2	OG0001686	FALSE	-1.46
S_epidermidis	GCF_2	OG0001685	FALSE	-1.38
S_epidermidis	GCF_2	OG0001684	FALSE	-0.54
S_epidermidis	GCF_2	OG0001683	FALSE	-1.66
S_epidermidis	GCF_2	OG0001682	FALSE	-0.54
S_epidermidis	GCF_2	OG0001981	FALSE	-1.09
S_epidermidis	GCF_2	OG0001681	FALSE	-2.42
S_epidermidis	GCF_2	OG0001680	FALSE	-1.58
S_epidermidis	GCF_2	OG0001679	FALSE	-0.53
S_epidermidis	GCF_2	OG0001678	FALSE	-1.12
S_epidermidis	GCF_2	OG0001677	FALSE	-1.21
S_epidermidis	GCF_2	OG0001676	FALSE	-0.56
S_epidermidis	GCF_2	OG0001675	FALSE	-0.88
S_epidermidis	GCF_2	OG0001674	FALSE	-1.04
S_epidermidis	GCF_2	OG0001980	FALSE	-0.49
S_epidermidis	GCF_2	OG0001673	FALSE	-0.63
S_epidermidis	GCF_2	OG0002064	FALSE	-1.78
S_epidermidis	GCF_2	OG0001703	FALSE	-2.67
S_epidermidis	GCF_2	OG0001702	FALSE	-1.36
S_epidermidis	GCF_3	OG0000192	FALSE	-1.2
S_epidermidis	GCF_3	OG0000188	FALSE	-2.36
S_epidermidis	GCF_3	OG0000187	FALSE	-2.3
S_epidermidis	GCF_3	OG0000186	FALSE	-2.36
S_epidermidis	GCF_3	OG0000185	FALSE	-2.34
S_epidermidis	GCF_3	OG0000184	FALSE	0.55
S_epidermidis	GCF_3	OG0000183	FALSE	-1.15
S_epidermidis	GCF_3	OG0000182	FALSE	-1.56
S_epidermidis	GCF_3	OG0000181	FALSE	-0.82
S_epidermidis	GCF_3	OG0000180	FALSE	-1.2
S_epidermidis	GCF_3	OG0000179	FALSE	-1.12
S_epidermidis	GCF_3	OG0000178	TRUE	-1
S_epidermidis	GCF_3	OG0000177	FALSE	-0.93
S_epidermidis	GCF_3	OG0000176	FALSE	-0.03
S_epidermidis	GCF_3	OG0000175	FALSE	-0.62
S_epidermidis	GCF_3	OG0000174	FALSE	-1.11
S_epidermidis	GCF_3	OG0000173	FALSE	-1.16
S_epidermidis	GCF_3	OG0000172	FALSE	-0.98
S_epidermidis	GCF_3	OG0000171	FALSE	-1.27
S_epidermidis	GCF_3	OG0000170	FALSE	0.11
S_epidermidis	GCF_3	OG0000169	FALSE	-0.71
S_epidermidis	GCF_3	OG0000168	FALSE	-0.81
S_epidermidis	GCF_3	OG0000167	FALSE	-2.38
S_epidermidis	GCF_3	OG0000166	FALSE	-1.97
S_epidermidis	GCF_3	OG0000165	FALSE	1.58
S_epidermidis	GCF_3	OG0000164	FALSE	-2.25
S_epidermidis	GCF_3	OG0000163	FALSE	-2.4
S_epidermidis	GCF_3	OG0000162	FALSE	-2.12
S_epidermidis	GCF_3	OG0000161	FALSE	-2.38
S_epidermidis	GCF_3	OG0000191	FALSE	-2.09
S_epidermidis	GCF_3	OG0000190	FALSE	-0.45
S_epidermidis	GCF_3	OG0000189	FALSE	-1.4
S_epidermidis	GCF_4	OG0001297	FALSE	-0.64
S_epidermidis	GCF_4	OG0001298	FALSE	-1.36
S_epidermidis	GCF_4	OG0001299	FALSE	-0.4
S_epidermidis	GCF_4	OG0001300	FALSE	-0.46
S_epidermidis	GCF_4	OG0001968	TRUE	3.95
S_epidermidis	GCF_4	OG0001969	TRUE	5.21
S_epidermidis	GCF_4	OG0001301	FALSE	-1.07
S_epidermidis	GCF_4	OG0001302	FALSE	-0.48
S_epidermidis	GCF_4	OG0001303	FALSE	-0.41
S_epidermidis	GCF_4	OG0001304	FALSE	-0.14
S_epidermidis	GCF_4	OG0001305	FALSE	0.28
S_epidermidis	GCF_4	OG0001306	FALSE	-1.77
S_epidermidis	GCF_4	OG0001307	FALSE	0.21
S_epidermidis	GCF_5	OG0002906	FALSE	-0.07
S_epidermidis	GCF_5	OG0002907	FALSE	0.53
