rv	tajimas_d	bgc_related	gene_length	length_cat
Rv3848	-2.02691479072	False	909	middle_50_percentile
Rv3848	-2.02691479072	False	909	all
Rv0174	-1.14925966689	False	1548	all
Rv2954c	-1.28057054431	True	726	middle_50_percentile
Rv2954c	-1.28057054431	True	726	all
Rv2215	-1.36896021041	False	1662	all
Rv0475	-0.792987846034	False	600	middle_50_percentile
Rv0475	-0.792987846034	False	600	all
Rv1926c	-1.43264896952	False	480	all
Rv2895c	-1.73495340639	False	852	middle_50_percentile
Rv2895c	-1.73495340639	False	852	all
Rv3571	-1.78439643788	False	1077	middle_50_percentile
Rv3571	-1.78439643788	False	1077	all
Rv1675c	-1.35186596549	True	735	middle_50_percentile
Rv1675c	-1.35186596549	True	735	all
Rv1980c	-0.974338378481	False	687	middle_50_percentile
Rv1980c	-0.974338378481	False	687	all
Rv3526	-1.4041112286	False	1161	middle_50_percentile
Rv3526	-1.4041112286	False	1161	all
Rv2269c	-1.5382902068	True	333	all
Rv2556c	-1.11448635911	False	390	all
Rv1108c	-1.70245122132	False	1248	middle_50_percentile
Rv1108c	-1.70245122132	False	1248	all
Rv2073c	-1.56906145806	False	750	middle_50_percentile
Rv2073c	-1.56906145806	False	750	all
Rv0410c	-2.1758805255	True	2253	all
Rv2097c	-1.60548234911	False	1359	all
Rv3741c	-1.19025645018	False	675	middle_50_percentile
Rv3741c	-1.19025645018	False	675	all
Rv3215	-1.41364018367	False	1119	middle_50_percentile
Rv3215	-1.41364018367	False	1119	all
Rv3259	-1.40885891086	False	420	all
Rv0067c	-1.63408466591	False	570	middle_50_percentile
Rv0067c	-1.63408466591	False	570	all
Rv3537	-1.08500477371	False	1692	all
Rv3297	0.232308219268	False	768	middle_50_percentile
Rv3297	0.232308219268	False	768	all
Rv3254	-1.26998711032	False	1389	all
Rv3574	-1.3936929317	False	600	middle_50_percentile
Rv3574	-1.3936929317	False	600	all
Rv3044	-1.68934184735	False	1080	middle_50_percentile
Rv3044	-1.68934184735	False	1080	all
Rv2729c	-1.01244569376	False	906	middle_50_percentile
Rv2729c	-1.01244569376	False	906	all
Rv2313c	-1.69602326223	False	855	middle_50_percentile
Rv2313c	-1.69602326223	False	855	all
Rv1505c	-0.792491489497	False	666	middle_50_percentile
Rv1505c	-0.792491489497	False	666	all
Rv1334	-1.5475436859	False	441	all
Rv2393	-1.2635451121	True	846	middle_50_percentile
Rv2393	-1.2635451121	True	846	all
Rv1248c	-1.33959719587	False	3696	all
Rv3334	-1.63046353466	False	441	all
Rv2871	-0.740356602146	False	258	all
Rv2316	-0.247715083855	False	873	middle_50_percentile
Rv2316	-0.247715083855	False	873	all
Rv2317	-1.26356489799	False	825	middle_50_percentile
Rv2317	-1.26356489799	False	825	all
Rv2318	-1.52590166261	False	1323	all
Rv3407	0.974460766927	False	300	all
Rv3385c	-1.03828289089	False	309	all
Rv2332	-1.61946746941	False	1647	all
Rv3331	-1.79429367535	False	1509	all
Rv0825c	-0.497641098471	False	642	middle_50_percentile
Rv0825c	-0.497641098471	False	642	all
Rv2801c	-1.27489221072	False	357	all
Rv0108c	-0.776567589972	True	210	all
Rv2063A	-0.648629379209	True	411	all
Rv1991c	-0.484401862573	False	345	all
Rv1942c	-1.05278132507	False	330	all
Rv1495	-1.40887574928	False	318	all
Rv1102c	0.944308556143	False	312	all
Rv0659c	-1.0815642863	False	309	all
Rv0456A	-1.54654920743	False	282	all
Rv1237	-1.64138984963	False	825	middle_50_percentile
Rv1237	-1.64138984963	False	825	all
Rv1551	-2.06018581219	False	1866	all
Rv2482c	-2.09720032604	False	2370	all
Rv1111c	-1.12859090691	False	984	middle_50_percentile
Rv1111c	-1.12859090691	False	984	all
Rv2783c	-1.84495792552	False	2259	all
Rv2903c	-1.25223767922	False	885	middle_50_percentile
Rv2903c	-1.25223767922	False	885	all
Rv0871	-1.1743590495	False	408	all
Rv3858c	-1.97303005804	False	1467	all
Rv3648c	-1.56840495255	False	204	all
Rv3476c	-1.47166153188	False	1350	all
Rv0935	-1.42798341166	False	1017	middle_50_percentile
Rv0935	-1.42798341166	False	1017	all
Rv0929	-1.54654920403	False	975	middle_50_percentile
Rv0929	-1.54654920403	False	975	all
Rv2510c	-1.55482728635	False	1602	all
Rv1272c	-0.792913864593	False	1896	all
Rv2103c	0.35935273311	False	435	all
Rv1982c	-1.18698260984	False	420	all
Rv1962c	-1.28057055433	False	408	all
Rv1741	-0.792913864593	False	249	all
Rv1242	-1.26922366426	False	432	all
Rv0749	-1.96070594501	False	429	all
Rv0624	-1.53414641756	False	396	all
Rv1165	-1.86297636068	False	1887	all
Rv1366A	-1.26922367427	True	261	all
Rv1895	-1.85540808532	False	1155	middle_50_percentile
Rv1895	-1.85540808532	False	1155	all
Rv1893	-1.23529006596	False	219	all
Rv2530c	-1.54654920743	False	420	all
Rv1891	-1.06000369991	False	408	all
Rv0749A	0.137993573843	False	138	all
Rv1129c	-2.21311620939	False	1461	all
Rv1928c	-0.44757546857	False	768	middle_50_percentile
Rv1928c	-0.44757546857	False	768	all
Rv1934c	-1.36619227459	False	1230	middle_50_percentile
Rv1934c	-1.36619227459	False	1230	all
Rv1250	-1.97030584934	False	1740	all
Rv1187	-2.05649427487	False	1632	all
Rv3529c	-1.80571323251	False	1155	middle_50_percentile
Rv3529c	-1.80571323251	False	1155	all
Rv3298c	-0.792913851897	False	915	middle_50_percentile
Rv3298c	-0.792913851897	False	915	all
Rv3244c	-1.85577218814	False	1752	all
Rv3016	-1.24091041347	False	630	middle_50_percentile
Rv3016	-1.24091041347	False	630	all
Rv2585c	-2.02391344401	True	1674	all
Rv3584	-1.26356494497	False	549	middle_50_percentile
Rv3584	-1.26356494497	False	549	all
Rv3390	-1.77552198358	True	711	middle_50_percentile
Rv3390	-1.77552198358	True	711	all
Rv0399c	-2.03515950686	True	1230	middle_50_percentile
Rv0399c	-2.03515950686	True	1230	all
Rv0344c	-1.7088352902	False	561	middle_50_percentile
Rv0344c	-1.7088352902	False	561	all
Rv0237	-1.44378894945	False	1167	middle_50_percentile
Rv0237	-1.44378894945	False	1167	all
Rv3763	-0.856508824107	False	480	all
Rv0604	-1.51370866609	False	951	middle_50_percentile
Rv0604	-1.51370866609	False	951	all
Rv0583c	-1.55067862033	False	687	middle_50_percentile
Rv0583c	-1.55067862033	False	687	all
Rv0419	-1.3821211817	True	1497	all
Rv0418	-1.9400081528	True	1503	all
Rv0847	-1.55078597478	False	393	all
Rv0838	-1.71899909885	False	771	middle_50_percentile
Rv0838	-1.71899909885	False	771	all
Rv0835	-0.944950838839	False	645	middle_50_percentile
Rv0835	-0.944950838839	False	645	all
Rv0671	-1.6802206311	False	843	middle_50_percentile
Rv0671	-1.6802206311	False	843	all
Rv1166	-1.81902565501	False	1908	all
Rv1064c	-1.26920824777	False	420	all
Rv1022	-1.69234729791	False	732	middle_50_percentile
Rv1022	-1.69234729791	False	732	all
Rv1016c	-1.28979859725	False	681	middle_50_percentile
Rv1016c	-1.28979859725	False	681	all
Rv1244	-1.63426645527	False	861	middle_50_percentile
Rv1244	-1.63426645527	False	861	all
Rv1235	-1.78857066551	False	1407	all
Rv1228	-1.38985057934	False	558	middle_50_percentile
Rv1228	-1.38985057934	False	558	all
Rv0011c	-1.55481535251	False	282	all
Rv1931c	-1.93434895468	False	780	middle_50_percentile
Rv1931c	-1.93434895468	False	780	all
Rv2553c	-1.46105140168	False	1254	middle_50_percentile
Rv2553c	-1.46105140168	False	1254	all
Rv2458	-1.44422706154	False	909	middle_50_percentile
Rv2458	-1.44422706154	False	909	all
Rv3372	-1.84962759281	False	1176	middle_50_percentile
Rv3372	-1.84962759281	False	1176	all
Rv2006	-2.39254405472	False	3984	all
Rv2311	-1.648729975	False	525	all
Rv2312	-1.26921386711	False	270	all
Rv3815c	-0.600310716095	True	756	middle_50_percentile
Rv3815c	-0.600310716095	True	756	all
Rv2364c	-1.85239757083	True	903	middle_50_percentile
Rv2364c	-1.85239757083	True	903	all
Rv1628c	-1.65239859979	False	492	all
Rv3671c	-0.381580017427	False	1194	middle_50_percentile
Rv3671c	-0.381580017427	False	1194	all
Rv2082	-1.05855025347	False	2166	all
Rv2804c	-0.0489219043666	False	630	middle_50_percentile
Rv2804c	-0.0489219043666	False	630	all
Rv2083	-1.63429937396	False	945	middle_50_percentile
Rv2083	-1.63429937396	False	945	all
Rv2798c	-1.08147996858	False	327	all
Rv2348c	-1.25788149221	False	327	all
Rv0093c	-1.71809126589	True	849	middle_50_percentile
Rv0093c	-1.71809126589	True	849	all
Rv1729c	-1.42312816691	False	939	middle_50_percentile
Rv1729c	-1.42312816691	False	939	all
Rv2159c	-1.65649280769	False	1035	middle_50_percentile
Rv2159c	-1.65649280769	False	1035	all
Rv2183c	-1.07428667316	False	396	all
Rv2031c	-1.41364026995	True	435	all
Rv3011c	-2.05870353684	False	1485	all
Rv3009c	-1.54654920743	False	1530	all
Rv3012c	-0.792913864593	False	300	all
Rv0670	-1.25220825588	False	759	middle_50_percentile
Rv0670	-1.25220825588	False	759	all
Rv2387	-1.60141336705	True	1254	middle_50_percentile
Rv2387	-1.60141336705	True	1254	all
Rv1023	-0.198941290998	False	1290	all
Rv0695	-1.42787565273	True	756	middle_50_percentile
Rv0695	-1.42787565273	True	756	all
Rv3762c	-2.22827960862	False	1881	all
Rv2260	-0.364483315609	False	636	middle_50_percentile
Rv2260	-0.364483315609	False	636	all
Rv2286c	-1.00801415357	False	693	middle_50_percentile
Rv2286c	-1.00801415357	False	693	all
Rv2263	-1.40936750602	False	954	middle_50_percentile
Rv2263	-1.40936750602	False	954	all
Rv2175c	-1.40890866479	False	441	all
Rv2358	-1.28057055433	True	408	all
Rv3493c	-1.08305621146	False	729	middle_50_percentile
Rv3493c	-1.08305621146	False	729	all
Rv1960c	-1.08147996353	False	252	all
Rv2142A	-0.792913864593	False	216	all
Rv1636	-1.51778559453	False	441	all
Rv0756c	-1.36153500296	False	726	middle_50_percentile
Rv0756c	-1.36153500296	False	726	all
Rv0022c	-1.6523986037	False	420	all
Rv3375	-1.51942249628	False	1428	all
Rv1672c	-1.35101332427	True	1332	all
Rv3862c	-1.87285968408	False	351	all
Rv1794	-1.6523986037	False	903	middle_50_percentile
Rv1794	-1.6523986037	False	903	all
Rv2888c	-1.71992113721	False	1422	all
Rv3260c	-0.792913864593	False	270	all
Rv2135c	-0.792913831916	False	711	middle_50_percentile
Rv2135c	-0.792913831916	False	711	all
Rv2418c	-1.28057055433	False	744	middle_50_percentile
Rv2418c	-1.28057055433	False	744	all
Rv1029	-1.79221632725	False	1716	all
Rv1031	-1.27028837299	False	570	middle_50_percentile
Rv1031	-1.27028837299	False	570	all
Rv1030	-2.06470196684	False	2130	all
Rv1027c	-0.299140045981	False	681	middle_50_percentile
Rv1027c	-0.299140045981	False	681	all
Rv1028c	-1.54156051796	False	2583	all
Rv1383	-0.763639954131	True	1131	middle_50_percentile
Rv1383	-0.763639954131	True	1131	all
Rv0503c	-1.65607030152	False	909	middle_50_percentile
Rv0503c	-1.65607030152	False	909	all
Rv3392c	-1.53019002028	True	864	middle_50_percentile
Rv3392c	-1.53019002028	True	864	all
Rv1158c	-1.27185830067	False	684	middle_50_percentile
Rv1158c	-1.27185830067	False	684	all
Rv3072c	-1.36213539657	False	525	all
Rv1062	-1.5383109468	False	858	middle_50_percentile
Rv1062	-1.5383109468	False	858	all
Rv1061	-1.91119498811	False	864	middle_50_percentile
Rv1061	-1.91119498811	False	864	all
Rv1060	-1.538290179	False	474	all
Rv1066	-1.04586930305	False	396	all
Rv1065	-1.37581046913	False	567	middle_50_percentile
Rv1065	-1.37581046913	False	567	all
Rv3176c	-1.5532691724	False	957	middle_50_percentile
Rv3176c	-1.5532691724	False	957	all
Rv2460c	-1.06710580139	False	645	middle_50_percentile
Rv2460c	-1.06710580139	False	645	all
Rv1398c	-1.28057054869	False	258	all
Rv0776c	-1.61596632663	False	780	middle_50_percentile
Rv0776c	-1.61596632663	False	780	all
Rv1001	-1.91818219602	False	1209	middle_50_percentile
Rv1001	-1.91818219602	False	1209	all
Rv0255c	-1.48695047832	False	1485	all
Rv1203c	-1.06003520221	False	585	middle_50_percentile
Rv1203c	-1.06003520221	False	585	all
Rv1084	-1.93316255929	False	2022	all
Rv1086	-0.611044225289	False	789	middle_50_percentile
Rv1086	-0.611044225289	False	789	all
Rv1083	-1.06710580139	False	267	all
Rv0860	-1.90800777413	False	2163	all
Rv1486c	-1.47518855711	False	867	middle_50_percentile
Rv1486c	-1.47518855711	False	867	all
Rv1175c	-1.68658864983	False	2025	all
Rv3402c	-1.44235543049	True	1239	middle_50_percentile
Rv3402c	-1.44235543049	True	1239	all
Rv0113	-1.95170186422	False	591	middle_50_percentile
Rv0113	-1.95170186422	False	591	all
Rv0114	-1.73220661596	False	573	middle_50_percentile
Rv0114	-1.73220661596	False	573	all
Rv0939	-2.1741243708	False	1935	all
Rv1309	-1.69588615425	False	918	middle_50_percentile
Rv1309	-1.69588615425	False	918	all
Rv2309A	-1.07428667316	False	288	all
Rv2029c	-1.48914343597	True	1020	middle_50_percentile
Rv2029c	-1.48914343597	True	1020	all
Rv1894c	-1.86033404179	False	1131	middle_50_percentile
Rv1894c	-1.86033404179	False	1131	all
Rv3641c	-1.26354526295	False	636	middle_50_percentile
Rv3641c	-1.26354526295	False	636	all
Rv2955c	-1.82151092231	True	966	middle_50_percentile
Rv2955c	-1.82151092231	True	966	all
Rv1401	-0.578468108886	False	603	middle_50_percentile
Rv1401	-0.578468108886	False	603	all
Rv2857c	-1.37661715727	False	777	middle_50_percentile
Rv2857c	-1.37661715727	False	777	all
Rv1404	-0.57523391823	False	483	all
Rv2680	-1.26922323185	False	633	middle_50_percentile
Rv2680	-1.26922323185	False	633	all
Rv0062	-2.14204258396	False	1143	middle_50_percentile
Rv0062	-2.14204258396	False	1143	all
Rv2245	-1.19043689045	False	1251	middle_50_percentile
Rv2245	-1.19043689045	False	1251	all
Rv2040c	-1.65261467827	True	903	middle_50_percentile
Rv2040c	-1.65261467827	True	903	all
Rv1655	-1.80709963621	True	1203	middle_50_percentile
Rv1655	-1.80709963621	True	1203	all
Rv0227c	-1.78633143454	False	1266	all
Rv1339	-1.52177952901	False	822	middle_50_percentile
Rv1339	-1.52177952901	False	822	all
Rv1337	-1.56916711177	False	723	middle_50_percentile
Rv1337	-1.56916711177	False	723	all
Rv1333	-1.39180666116	False	1035	middle_50_percentile
Rv1333	-1.39180666116	False	1035	all
Rv1332	-1.51819456075	False	657	middle_50_percentile
Rv1332	-1.51819456075	False	657	all
Rv1331	-1.07428667316	False	306	all
Rv1826	0.363383473409	False	405	all
Rv2690c	-1.93557368254	False	1974	all
Rv1832	-1.79835603985	False	2826	all
Rv0688	-1.52313974094	True	1221	middle_50_percentile
Rv0688	-1.52313974094	True	1221	all
Rv3102c	-0.362075884667	False	690	middle_50_percentile
Rv3102c	-0.362075884667	False	690	all
Rv3470c	-1.5618321586	False	1659	all
Rv0681	-1.56574906907	False	591	middle_50_percentile
Rv0681	-1.56574906907	False	591	all
Rv2748c	-2.06594234389	False	2652	all
Rv0686	-1.72861042624	True	798	middle_50_percentile
Rv0686	-1.72861042624	True	798	all
Rv0687	-1.53830793863	True	828	middle_50_percentile
Rv0687	-1.53830793863	True	828	all
Rv1535	-1.52593028373	True	237	all
Rv1534	-1.28162826739	True	678	middle_50_percentile
Rv1534	-1.28162826739	True	678	all
Rv3167c	-1.66287600757	False	627	middle_50_percentile
Rv3167c	-1.66287600757	False	627	all
Rv1531	-1.61581162224	True	567	middle_50_percentile
Rv1531	-1.61581162224	True	567	all
Rv1533	-1.5465487213	True	1128	middle_50_percentile
Rv1533	-1.5465487213	True	1128	all
Rv0510	-1.3574039709	False	930	middle_50_percentile
Rv0510	-1.3574039709	False	930	all
Rv0331	-1.93421374684	False	1167	middle_50_percentile
Rv0331	-1.93421374684	False	1167	all
Rv0332	-1.71908673182	False	786	middle_50_percentile
Rv0332	-1.71908673182	False	786	all
Rv0333	-0.750831625401	False	375	all
Rv2150c	-1.08147359838	False	1140	middle_50_percentile
Rv2150c	-1.08147359838	False	1140	all
Rv3101c	-1.3851683502	False	894	middle_50_percentile
Rv3101c	-1.3851683502	False	894	all
Rv0110	-1.54241255604	True	750	middle_50_percentile
Rv0110	-1.54241255604	True	750	all
Rv0111	-1.58059331184	True	2058	all
Rv1836c	-2.28184928705	False	2034	all
Rv0046c	-1.58630320394	False	1104	middle_50_percentile
Rv0046c	-1.58630320394	False	1104	all
Rv2902c	-1.68582413703	False	795	middle_50_percentile
Rv2902c	-1.68582413703	False	795	all
Rv3557c	-1.08147996858	False	603	middle_50_percentile
Rv3557c	-1.08147996858	False	603	all
Rv2719c	-0.149187228138	False	498	all
Rv0412c	-0.682768397292	True	1320	all
Rv2319c	-1.62310110309	False	879	middle_50_percentile
Rv2319c	-1.62310110309	False	879	all
Rv1593c	-1.69564032461	False	711	middle_50_percentile
Rv1593c	-1.69564032461	False	711	all
Rv1010	-1.63774324183	False	954	middle_50_percentile
Rv1010	-1.63774324183	False	954	all
Rv0365c	-1.56857825552	False	1131	middle_50_percentile
Rv0365c	-1.56857825552	False	1131	all
Rv0330c	-1.60130555615	False	741	middle_50_percentile
Rv0330c	-1.60130555615	False	741	all
Rv0938	-1.88832339871	False	2280	all
Rv2878c	0.346868222893	False	522	all
Rv3014c	-2.07998540686	False	2076	all
Rv0752c	-1.66616286028	False	1173	middle_50_percentile
Rv0752c	-1.66616286028	False	1173	all
Rv3731	-1.0801492864	False	1077	middle_50_percentile
Rv3731	-1.0801492864	False	1077	all
Rv3221c	-1.43583859009	False	216	all
Rv2897c	-2.2637872083	False	1512	all
Rv1423	-1.84437151309	False	978	middle_50_percentile
Rv1423	-1.84437151309	False	978	all
Rv0205	-1.71226884288	False	1104	middle_50_percentile
Rv0205	-1.71226884288	False	1104	all
Rv0603	-1.06008819808	False	312	all
Rv0200	-1.4231199244	False	690	middle_50_percentile
Rv0200	-1.4231199244	False	690	all
Rv2343c	-1.01640220003	False	1920	all
Rv0203	-1.63421916241	False	411	all
Rv0634B	-0.792913853069	False	168	all
Rv2057c	0.969491305497	True	165	all
Rv0209	-1.5117054484	False	1086	middle_50_percentile
Rv0209	-1.5117054484	False	1086	all
Rv1694	-1.92661372778	False	807	middle_50_percentile
Rv1694	-1.92661372778	False	807	all
Rv0436c	-0.576568742104	False	861	middle_50_percentile
Rv0436c	-0.576568742104	False	861	all
Rv3208A	-1.54240898437	False	273	all
Rv1299	-1.25227690785	False	1074	middle_50_percentile
Rv1299	-1.25227690785	False	1074	all
Rv3105c	-1.71538703655	False	1137	middle_50_percentile
Rv3105c	-1.71538703655	False	1137	all
Rv2689c	-1.95146955273	False	1218	middle_50_percentile
Rv2689c	-1.95146955273	False	1218	all
Rv0043c	-1.57412428739	False	735	middle_50_percentile
Rv0043c	-1.57412428739	False	735	all
Rv3248c	-1.37576294873	False	1488	all
Rv3674c	-0.760627225227	False	738	middle_50_percentile
Rv3674c	-0.760627225227	False	738	all
Rv0432	-0.792913861915	False	723	middle_50_percentile
Rv0432	-0.792913861915	False	723	all
Rv3846	-1.72863917271	False	624	middle_50_percentile
Rv3846	-1.72863917271	False	624	all
Rv0964c	-1.24096925641	False	483	all
Rv3575c	-1.72530303983	False	1080	middle_50_percentile
Rv3575c	-1.72530303983	False	1080	all
Rv0926c	-1.71211116176	False	1077	middle_50_percentile
Rv0926c	-1.71211116176	False	1077	all
Rv0117	-1.34173338198	False	945	middle_50_percentile
Rv0117	-1.34173338198	False	945	all
Rv0245	0.233797671942	False	489	all
Rv3922c	-1.51352766987	False	363	all
Rv2023c	-0.996206372078	False	360	all
Rv2837c	-0.790075708972	False	1011	middle_50_percentile
Rv2837c	-0.790075708972	False	1011	all
Rv0346c	-1.64140253343	False	1464	all
Rv3309c	-1.0072564713	False	624	middle_50_percentile
Rv3309c	-1.0072564713	False	624	all
Rv1191	-1.92782398815	False	915	middle_50_percentile
Rv1191	-1.92782398815	False	915	all
Rv3029c	-1.44833878798	False	801	middle_50_percentile
Rv3029c	-1.44833878798	False	801	all
Rv0269c	-1.93177203129	False	1194	middle_50_percentile
Rv0269c	-1.93177203129	False	1194	all
Rv3495c	-1.38875928593	False	1155	middle_50_percentile
Rv3495c	-1.38875928593	False	1155	all
Rv2357c	-1.26356488103	True	1392	all
Rv0593	-1.47363029535	False	1209	middle_50_percentile
Rv0593	-1.47363029535	False	1209	all
Rv1970	-1.50963457591	False	1134	middle_50_percentile
Rv1970	-1.50963457591	False	1134	all
Rv1690	-1.27489221072	False	384	all
Rv0173	-0.881750259883	False	1173	middle_50_percentile
Rv0173	-0.881750259883	False	1173	all
Rv1418	-1.56969977662	False	687	middle_50_percentile
Rv1418	-1.56969977662	False	687	all
Rv1541c	-1.60524360096	True	594	middle_50_percentile
Rv1541c	-1.60524360096	True	594	all
Rv1368	0.328479983226	True	786	middle_50_percentile
Rv1368	0.328479983226	True	786	all
Rv1411c	-1.50963376087	False	711	middle_50_percentile
Rv1411c	-1.50963376087	False	711	all
Rv1343c	-1.56879296639	False	381	all
Rv1252c	-1.25786686971	False	609	middle_50_percentile
Rv1252c	-1.25786686971	False	609	all
Rv1274	-1.03850655086	False	558	middle_50_percentile
Rv1274	-1.03850655086	False	558	all
Rv1275	-1.42909421588	False	543	middle_50_percentile
Rv1275	-1.42909421588	False	543	all
Rv1270c	-0.68480511825	False	735	middle_50_percentile
Rv1270c	-0.68480511825	False	735	all
Rv3304	-0.792913864593	False	480	all
Rv0779c	-1.73203152326	False	621	middle_50_percentile
Rv0779c	-1.73203152326	False	621	all
Rv0962c	-1.80674921341	False	675	middle_50_percentile
Rv0962c	-1.80674921341	False	675	all
Rv0483	-1.02640890807	False	1356	all
Rv1656	-1.63771764177	True	924	middle_50_percentile
Rv1656	-1.63771764177	True	924	all
Rv2717c	-1.17418252069	False	495	all
Rv0010c	-1.91577529568	False	426	all
Rv2429	-1.51834057516	False	534	all
Rv1245c	-1.39685124892	False	831	middle_50_percentile
Rv1245c	-1.39685124892	False	831	all
Rv0398c	-0.0840576416673	True	642	middle_50_percentile
Rv0398c	-0.0840576416673	True	642	all
Rv3627c	-1.85514312369	False	1386	all
Rv2401	-1.07428666933	True	330	all
Rv2728c	-1.71866250908	False	696	middle_50_percentile
Rv2728c	-1.71866250908	False	696	all
Rv3116	-1.84970446679	False	1170	middle_50_percentile
Rv3116	-1.84970446679	False	1170	all
Rv1258c	-1.8140601189	False	1260	middle_50_percentile
Rv1258c	-1.8140601189	False	1260	all
Rv3206c	-2.03751251894	False	1179	middle_50_percentile
Rv3206c	-2.03751251894	False	1179	all
Rv0137c	-1.25243114374	False	549	middle_50_percentile
Rv0137c	-1.25243114374	False	549	all
Rv1563c	-2.17255256313	False	2298	all
Rv1564c	-1.90222539311	False	2166	all
Rv2596	-0.932294665532	True	405	all
Rv1562c	-1.96414566364	False	1743	all
Rv3384c	-1.15706354734	False	393	all
Rv3408	-1.08147996858	False	411	all
Rv3320c	-1.08147996858	False	429	all
Rv1131	-1.55074520678	False	1182	middle_50_percentile
Rv1131	-1.55074520678	False	1182	all
Rv3697c	-1.76148629908	False	438	all
Rv3068c	-1.50791853948	False	1644	all
Rv3013	-1.08157702557	False	657	middle_50_percentile
Rv3013	-1.08157702557	False	657	all
Rv0021c	-1.92323391636	False	969	middle_50_percentile
Rv0021c	-1.92323391636	False	969	all
Rv1474c	-1.40890864003	False	564	middle_50_percentile
Rv1474c	-1.40890864003	False	564	all
Rv0312	-1.93247429938	False	1863	all
