focal GCF	assocaited GCF/OG	allele frequency	direction	frequency in samples with focal GCF	frequency in samples with focal GCF	pvalue	phylgoenetically corrected pvalue	beta	beta-std-err	variant_h2	notes	annotation notes	KO Annotation (E-value)	PGAP Annotation (E-value)	PaperBLAST Annotation (E-value)	CARD Annotation (E-value)	IS Finder (E-value)	MI-BiG Annotation (E-value)	VOG Annotation (E-value)	VFDB Annotation (E-value)	Pfam Domains
GCF_13	OG0004491	8.84E-01	positive	0.9393939393939394	0.5833333333333334	5.77E-07	1.82E-09	4.86E-01	7.60E-02	4.59E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004510	8.84E-01	positive	0.9696969696969697	0.375	2.58E-17	9.20E-09	5.29E-01	8.71E-02	4.41E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004512	8.77E-01	positive	0.9545454545454546	0.4583333333333333	9.78E-12	7.75E-11	4.86E-01	6.95E-02	4.92E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004727	8.32E-01	positive	0.8636363636363636	0.6666666666666666	1.82E-02	1.12E-10	9.27E-01	1.34E-01	4.89E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004729	8.32E-01	positive	0.8636363636363636	0.6666666666666666	1.82E-02	1.12E-10	9.27E-01	1.34E-01	4.89E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004731	8.32E-01	positive	0.8636363636363636	0.6666666666666666	1.82E-02	1.12E-10	9.27E-01	1.34E-01	4.89E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004735	8.32E-01	positive	0.8636363636363636	0.6666666666666666	1.82E-02	1.12E-10	9.27E-01	1.34E-01	4.89E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004741	8.32E-01	positive	0.8636363636363636	0.6666666666666666	1.82E-02	1.12E-10	9.27E-01	1.34E-01	4.89E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004742	8.32E-01	positive	0.8636363636363636	0.6666666666666666	1.82E-02	1.12E-10	9.27E-01	1.34E-01	4.89E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004756	8.26E-01	positive	0.8484848484848485	0.7083333333333334	9.88E-02	3.37E-09	5.34E-01	8.51E-02	4.53E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004764	8.32E-01	negative	0.8257575757575758	0.8333333333333334	9.88E-01	6.72E-09	6.45E-01	1.05E-01	4.45E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004930	7.81E-01	positive	0.8333333333333334	0.5	3.01E-04	2.56E-10	4.28E-01	6.32E-02	4.80E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/OG0004930.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0004938	7.74E-01	positive	0.8333333333333334	0.4583333333333333	5.68E-05	8.32E-15	8.99E-01	1.04E-01	5.71E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0005213	6.84E-01	positive	0.7424242424242424	0.3333333333333333	5.88E-05	7.50E-14	6.38E-01	7.75E-02	5.54E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0005270	6.65E-01	positive	0.7045454545454546	0.4583333333333333	2.00E-02	5.23E-13	6.58E-01	8.34E-02	5.38E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0005472	6.06E-01	positive	0.6742424242424242	0.20833333333333334	1.41E-05	7.59E-09	7.13E-01	1.16E-01	4.43E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0006205	2.84E-01	negative	0.19696969696969696	0.75	3.61E-08	4.26E-09	-4.26E-01	6.84E-02	4.50E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0006274	2.71E-01	negative	0.18181818181818182	0.75	9.28E-09	1.99E-09	-4.99E-01	7.81E-02	4.58E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	OG0006613	2.13E-01	negative	0.14393939393939395	0.5833333333333334	1.42E-06	6.81E-14	-5.79E-01	7.02E-02	5.55E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	GCF_12	9.10E-01	positive	0.9848484848484849	0.5	2.61E-14	7.19E-17	6.16E-01	6.55E-02	6.05E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_12.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	GCF_16	8.06E-01	positive	0.8560606060606061	0.5416666666666666	3.55E-04	1.89E-11	6.79E-01	9.37E-02	5.06E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_16.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	GCF_4	9.23E-01	positive	0.9696969696969697	0.6666666666666666	3.35E-07	1.24E-11	5.73E-01	7.81E-02	5.10E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_4.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	GCF_46	9.68E-02	negative	0.015151515151515152	0.5416666666666666	1.07E-15	5.65E-13	-5.99E-01	7.60E-02	5.37E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_46.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	GCF_47	9.03E-02	negative	0.015151515151515152	0.5	2.61E-14	1.13E-11	-6.39E-01	8.69E-02	5.11E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_47.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_13	GCF_50	7.74E-02	negative	0.015151515151515152	0.4166666666666667	1.34E-11	2.42E-10	-6.40E-01	9.44E-02	4.81E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_50.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004232	9.48E-01	negative	0.6	0.9858156028368794	1.39E-10	7.99E-31	-8.00E-01	5.47E-02	7.63E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004240	9.48E-01	negative	0.8666666666666667	0.9574468085106383	1.32E-01	1.37E-20	7.43E-01	6.88E-02	6.58E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004265	9.42E-01	negative	0.8666666666666667	0.950354609929078	1.90E-01	2.70E-39	-9.36E-01	5.24E-02	8.22E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004296	9.42E-01	negative	0.6	0.9787234042553191	2.55E-09	1.34E-10	-3.25E-01	4.71E-02	4.87E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004299	9.42E-01	negative	0.5333333333333333	0.9858156028368794	1.08E-12	1.26E-39	-9.32E-01	5.17E-02	8.24E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004327	9.35E-01	negative	0.8666666666666667	0.9432624113475178	2.54E-01	2.58E-38	-9.25E-01	5.29E-02	8.16E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004341	9.35E-01	negative	0.6	0.9716312056737588	2.62E-08	2.98E-23	7.98E-01	6.76E-02	6.90E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004363	9.29E-01	negative	0.8	0.9432624113475178	4.06E-02	4.02E-13	-4.05E-01	5.10E-02	5.40E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004390	9.23E-01	negative	0.6	0.9574468085106383	8.71E-07	1.28E-17	-5.29E-01	5.46E-02	6.17E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004397	9.23E-01	negative	0.4666666666666667	0.9716312056737588	3.60E-12	7.64E-16	-4.50E-01	5.00E-02	5.89E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004441	9.10E-01	negative	0.4666666666666667	0.9574468085106383	3.01E-10	6.70E-12	-3.27E-01	4.39E-02	5.16E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004444	9.10E-01	negative	0.4	0.9645390070921985	4.29E-13	3.30E-40	-8.82E-01	4.84E-02	8.28E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004461	9.03E-01	negative	0.6666666666666666	0.9290780141843972	1.11E-03	4.02E-19	7.18E-01	7.00E-02	6.38E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004481	8.90E-01	negative	0.8666666666666667	0.8936170212765957	7.58E-01	1.03E-18	6.66E-01	6.59E-02	6.33E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004511	8.77E-01	negative	0.7333333333333333	0.8936170212765957	7.34E-02	6.78E-11	-3.34E-01	4.76E-02	4.94E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004522	8.71E-01	negative	0.6	0.900709219858156	9.88E-04	7.41E-36	-8.52E-01	5.16E-02	8.01E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004525	8.71E-01	negative	0.6	0.900709219858156	9.88E-04	6.42E-40	-9.77E-01	5.39E-02	8.26E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004723	8.45E-01	negative	0.6	0.8652482269503546	5.75E-03	6.88E-20	6.68E-01	6.33E-02	6.49E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004739	8.32E-01	negative	0.5333333333333333	0.8652482269503546	1.11E-03	1.85E-36	-9.29E-01	5.54E-02	8.05E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004772	8.26E-01	negative	0.8	0.8297872340425532	7.82E-01	2.69E-28	-7.58E-01	5.55E-02	7.41E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004812	8.19E-01	negative	0.26666666666666666	0.8723404255319149	4.79E-09	4.84E-32	-8.56E-01	5.68E-02	7.73E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004813	8.19E-01	negative	0.3333333333333333	0.8652482269503546	2.63E-07	1.01E-26	8.41E-01	6.43E-02	7.27E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004814	8.19E-01	negative	0.3333333333333333	0.8652482269503546	2.63E-07	1.01E-26	8.41E-01	6.43E-02	7.27E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004826	8.06E-01	positive	0.8666666666666667	0.8014184397163121	5.35E-01	1.66E-25	8.45E-01	6.69E-02	7.14E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004869	8.00E-01	positive	0.8666666666666667	0.7943262411347518	4.97E-01	6.03E-29	-8.10E-01	5.83E-02	7.47E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004888	8.00E-01	negative	0.4	0.8368794326241135	4.60E-05	3.35E-09	-2.70E-01	4.30E-02	4.53E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004915	7.94E-01	negative	0.6	0.8085106382978723	5.13E-02	5.43E-33	-8.78E-01	5.69E-02	7.80E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004928	7.81E-01	negative	0.5333333333333333	0.8085106382978723	1.49E-02	2.23E-26	-7.51E-01	5.79E-02	7.23E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004933	7.81E-01	negative	0.6	0.8014184397163121	7.52E-02	2.61E-22	7.33E-01	6.40E-02	6.79E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004946	7.74E-01	negative	0.6	0.7943262411347518	8.95E-02	8.50E-22	7.20E-01	6.40E-02	6.73E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004956	7.74E-01	negative	0.6	0.7872340425531915	8.95E-02	3.33E-17	6.19E-01	6.50E-02	6.11E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004961	7.74E-01	negative	0.5333333333333333	0.7943262411347518	1.89E-02	8.19E-32	-8.53E-01	5.69E-02	7.71E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0004967	7.61E-01	negative	0.6	0.7801418439716312	1.23E-01	2.20E-19	-5.98E-01	5.77E-02	6.42E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005005	7.35E-01	negative	0.6	0.75177304964539	2.11E-01	8.89E-40	-9.75E-01	5.40E-02	8.25E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005025	7.29E-01	negative	0.5333333333333333	0.75177304964539	7.28E-02	1.06E-15	-4.68E-01	5.22E-02	5.87E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005170	6.97E-01	negative	0.26666666666666666	0.7375886524822695	1.37E-04	2.30E-39	-9.66E-01	5.40E-02	8.23E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005176	6.97E-01	negative	0.4	0.723404255319149	8.51E-03	1.74E-18	6.70E-01	6.68E-02	6.29E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005253	6.77E-01	negative	0.26666666666666666	0.7163120567375887	3.43E-04	4.09E-37	-9.42E-01	5.54E-02	8.09E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005255	6.71E-01	negative	0.6	0.6808510638297872	5.38E-01	1.51E-30	-8.38E-01	5.77E-02	7.61E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005298	6.65E-01	negative	0.2	0.7092198581560284	6.09E-05	2.79E-16	-5.00E-01	5.45E-02	5.96E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005303	6.58E-01	negative	0.26666666666666666	0.7021276595744681	7.72E-04	2.75E-27	8.90E-01	6.70E-02	7.32E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005313	6.58E-01	positive	0.7333333333333333	0.6524822695035462	5.18E-01	3.64E-12	-4.13E-01	5.47E-02	5.21E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005325	6.58E-01	negative	0.2	0.7021276595744681	8.31E-05	7.15E-36	-9.21E-01	5.57E-02	8.01E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005339	6.58E-01	negative	0.2	0.7021276595744681	8.31E-05	1.14E-34	-9.02E-01	5.62E-02	7.92E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005341	6.58E-01	negative	0.2	0.7021276595744681	8.31E-05	8.57E-35	-9.08E-01	5.63E-02	7.93E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005367	6.52E-01	negative	0.2	0.6950354609929078	1.12E-04	1.68E-40	-9.82E-01	5.35E-02	8.29E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005376	6.52E-01	negative	0.2	0.6950354609929078	1.12E-04	8.32E-35	-9.00E-01	5.58E-02	7.93E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005388	6.39E-01	negative	0.26666666666666666	0.6808510638297872	1.60E-03	5.71E-14	-4.25E-01	5.13E-02	5.56E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005389	6.45E-01	negative	0.26666666666666666	0.6808510638297872	1.27E-03	1.30E-29	9.06E-01	6.40E-02	7.53E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005449	6.13E-01	negative	0.2	0.6524822695035462	5.51E-04	7.48E-20	-6.06E-01	5.75E-02	6.48E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005515	5.87E-01	negative	0.13333333333333333	0.6312056737588653	1.73E-04	2.65E-30	-8.02E-01	5.57E-02	7.59E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005528	5.81E-01	negative	0.13333333333333333	0.624113475177305	2.21E-04	5.04E-26	-7.22E-01	5.63E-02	7.20E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005532	5.81E-01	negative	0.13333333333333333	0.624113475177305	2.21E-04	6.08E-21	-6.19E-01	5.66E-02	6.63E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005542	5.68E-01	negative	0.5333333333333333	0.5673758865248227	7.77E-01	6.77E-17	-5.58E-01	5.93E-02	6.06E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005568	5.48E-01	negative	0.13333333333333333	0.5886524822695035	6.77E-04	4.10E-13	-4.03E-01	5.08E-02	5.40E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005581	5.42E-01	negative	0.2	0.574468085106383	5.16E-03	1.24E-15	5.51E-01	6.17E-02	5.85E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005598	5.35E-01	negative	0.26666666666666666	0.5602836879432624	2.81E-02	5.97E-23	7.49E-01	6.41E-02	6.87E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005601	5.29E-01	positive	0.5333333333333333	0.5319148936170213	9.72E-01	2.31E-15	5.05E-01	5.72E-02	5.81E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005609	5.29E-01	negative	0.13333333333333333	0.5673758865248227	1.24E-03	1.07E-23	-6.82E-01	5.70E-02	6.95E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005635	5.23E-01	negative	0.2	0.5531914893617021	8.49E-03	2.08E-19	-5.90E-01	5.69E-02	6.42E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005738	4.65E-01	negative	0.3333333333333333	0.475177304964539	2.84E-01	2.55E-17	5.84E-01	6.10E-02	6.12E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005781	4.32E-01	positive	0.5333333333333333	0.41843971631205673	4.06E-01	1.93E-14	4.96E-01	5.85E-02	5.65E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005817	4.06E-01	positive	0.8	0.36879432624113473	1.09E-03	8.28E-17	5.15E-01	5.49E-02	6.04E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0005833	4.00E-01	negative	0.2	0.41843971631205673	9.62E-02	4.62E-15	4.65E-01	5.34E-02	5.76E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0006068	3.23E-01	negative	0.13333333333333333	0.3404255319148936	9.90E-02	3.72E-17	-5.27E-01	5.54E-02	6.10E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0006092	3.03E-01	positive	0.5333333333333333	0.28368794326241137	4.13E-02	5.99E-13	4.24E-01	5.39E-02	5.37E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0006141	3.03E-01	negative	0.2	0.3120567375886525	3.60E-01	2.11E-21	-6.13E-01	5.52E-02	6.68E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0006294	2.65E-01	negative	0.13333333333333333	0.2765957446808511	2.26E-01	4.39E-17	-5.71E-01	6.01E-02	6.09E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0006378	2.52E-01	negative	0.13333333333333333	0.2624113475177305	2.67E-01	1.80E-19	-6.05E-01	5.82E-02	6.43E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0006615	2.13E-01	positive	0.26666666666666666	0.20567375886524822	5.93E-01	5.22E-17	-6.71E-01	7.09E-02	6.08E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0006681	2.00E-01	negative	0.13333333333333333	0.20567375886524822	4.97E-01	1.76E-10	3.65E-01	5.34E-02	4.84E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0006743	1.94E-01	positive	0.5333333333333333	0.15602836879432624	4.57E-04	2.08E-09	2.99E-01	4.69E-02	4.58E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0006823	1.81E-01	positive	0.4666666666666667	0.14893617021276595	2.45E-03	2.44E-13	-4.81E-01	5.99E-02	5.44E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0006836	1.81E-01	positive	0.4	0.15602836879432624	2.02E-02	5.03E-18	5.72E-01	5.81E-02	6.23E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0006848	1.81E-01	positive	0.2	0.1773049645390071	8.38E-01	3.14E-13	4.03E-01	5.05E-02	5.42E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0006933	1.68E-01	negative	0.13333333333333333	0.1702127659574468	7.07E-01	1.57E-12	3.91E-01	5.08E-02	5.28E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0006948	1.68E-01	negative	0.13333333333333333	0.1702127659574468	7.07E-01	2.62E-20	6.11E-01	5.71E-02	6.54E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0007049	1.61E-01	positive	0.5333333333333333	0.12056737588652482	3.75E-05	3.52E-09	-4.00E-01	6.38E-02	4.52E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0007074	1.55E-01	negative	0.13333333333333333	0.15602836879432624	8.09E-01	9.57E-16	5.34E-01	5.95E-02	5.87E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0007085	1.55E-01	positive	0.4666666666666667	0.12056737588652482	4.43E-04	4.47E-40	9.79E-01	5.38E-02	8.27E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0007098	1.55E-01	positive	0.3333333333333333	0.1347517730496454	4.43E-02	4.32E-21	-7.00E-01	6.37E-02	6.64E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0007249	1.48E-01	positive	0.2	0.14184397163120568	5.54E-01	2.11E-11	3.82E-01	5.29E-02	5.05E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0007262	1.48E-01	positive	0.2	0.14184397163120568	5.54E-01	9.44E-16	4.94E-01	5.50E-02	5.87E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0007330	1.48E-01	positive	0.4	0.12056737588652482	3.92E-03	1.36E-26	7.53E-01	5.78E-02	7.25E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
